"rank";"playerName";"expressoNb";"profit";"totalBuyin";"totalJackpot";"places1";"places2";"places3";"totalX2";"totalX4";"totalX6";"totalX10";"totalX20";"totalX50";"totalX200";"totalX1000";"totalX10000"
"160";"Donaldinho08";"129";"50";"4550";"12800";"53";"45";"31";"101";"18";"8";"1";"1";"0";"0";"0";"0"
"161";"cxin19871026";"128";"-500";"3250";"8700";"42";"35";"51";"99";"18";"9";"2";"0";"0";"0";"0";"0"
"162";"MangemonQ";"127";"675";"3325";"9300";"56";"42";"29";"91";"27";"7";"2";"0";"0";"0";"0";"0"
"163";"viriongil";"127";"-250";"3400";"9200";"41";"40";"46";"98";"15";"12";"2";"0";"0";"0";"0";"0"
"164";"Puffinho";"126";"-575";"4075";"11450";"40";"45";"41";"96";"19";"7";"4";"0";"0";"0";"0";"0"
"165";"lesoleil66";"123";"-300";"3300";"8650";"40";"35";"48";"94";"19";"10";"0";"0";"0";"0";"0";"0"
"166";"LuckyKruasan";"123";"1350";"3200";"9650";"49";"50";"24";"94";"19";"8";"1";"0";"1";"0";"0";"0"
"167";"whodini";"123";"1875";"4975";"14200";"56";"38";"29";"86";"25";"11";"1";"0";"0";"0";"0";"0"
"168";"EVF73";"123";"-75";"3075";"8700";"37";"35";"51";"89";"24";"9";"0";"1";"0";"0";"0";"0"
"169";"xgilles979";"123";"-175";"3375";"8850";"45";"34";"44";"96";"18";"7";"2";"0";"0";"0";"0";"0"
"170";"81RITA";"122";"-450";"3200";"9450";"39";"26";"57";"82";"27";"11";"2";"0";"0";"0";"0";"0"
"171";"TreezyBaby9";"122";"675";"4825";"13700";"45";"38";"39";"84";"30";"7";"0";"1";"0";"0";"0";"0"
"172";"losbramaires";"122";"2525";"5325";"39650";"54";"38";"30";"89";"21";"10";"1";"0";"0";"0";"1";"0"
"173";"LULUBES";"122";"-875";"3675";"10450";"34";"59";"29";"84";"24";"14";"0";"0";"0";"0";"0";"0"
"174";"TOUFIK76";"121";"-1000";"4200";"9950";"39";"46";"36";"101";"19";"0";"1";"0";"0";"0";"0";"0"
"175";"keikogi";"120";"200";"3450";"9050";"46";"37";"37";"94";"18";"8";"0";"0";"0";"0";"0";"0"
"176";"sniper 78";"120";"-500";"3050";"8150";"38";"38";"44";"90";"19";"11";"0";"0";"0";"0";"0";"0"
"177";"PhiI lvey";"119";"-150";"4450";"12300";"42";"49";"28";"92";"15";"10";"2";"0";"0";"0";"0";"0"
"178";"tutankhamun";"119";"475";"2975";"8200";"45";"48";"26";"88";"21";"8";"2";"0";"0";"0";"0";"0"
"179";"KENLUTY";"118";"50";"3000";"9000";"46";"33";"39";"85";"15";"17";"0";"1";"0";"0";"0";"0"
"180";"mopsiszz23";"118";"350";"2950";"8450";"43";"46";"29";"86";"19";"10";"3";"0";"0";"0";"0";"0"
"181";"Ridfa78130";"117";"-425";"3125";"8750";"36";"30";"51";"84";"21";"10";"2";"0";"0";"0";"0";"0"
"182";"AnArKine";"117";"-625";"3025";"7500";"40";"31";"46";"96";"13";"8";"0";"0";"0";"0";"0";"0"
"183";"lokahi59";"117";"350";"3600";"9500";"49";"35";"33";"94";"13";"9";"0";"1";"0";"0";"0";"0"
"184";"GrossKrouill";"116";"-100";"3100";"8650";"45";"44";"27";"82";"19";"15";"0";"0";"0";"0";"0";"0"
"185";"newintown";"116";"425";"3425";"11850";"45";"40";"31";"84";"21";"8";"2";"0";"1";"0";"0";"0"
"186";"tupusducul";"116";"-500";"2900";"7800";"35";"42";"39";"83";"26";"7";"0";"0";"0";"0";"0";"0"
"187";"jasty2k";"115";"75";"2875";"7500";"41";"38";"36";"88";"21";"5";"1";"0";"0";"0";"0";"0"
"188";"chicha88";"115";"325";"4825";"14700";"37";"38";"40";"77";"23";"12";"3";"0";"0";"0";"0";"0"
"189";"litidjas";"115";"-550";"3150";"8200";"38";"36";"41";"87";"19";"9";"0";"0";"0";"0";"0";"0"
"190";"lapougnette";"114";"325";"5675";"15550";"45";"40";"29";"86";"16";"11";"1";"0";"0";"0";"0";"0"
"191";"Gilardino57";"114";"-600";"4450";"11150";"42";"34";"38";"91";"18";"4";"1";"0";"0";"0";"0";"0"
"192";"damien0277";"114";"-250";"2850";"7500";"40";"41";"33";"87";"18";"9";"0";"0";"0";"0";"0";"0"
"193";"mimil7752";"114";"1850";"4600";"13000";"48";"32";"34";"79";"22";"12";"1";"0";"0";"0";"0";"0"
"194";"winyou";"114";"500";"3900";"10050";"48";"36";"30";"94";"13";"5";"2";"0";"0";"0";"0";"0"
